id,name,url,source_group,opportunity_types,countries_covered,sectors,access_method,automation_priority,review_frequency,notes
terra-do-jobs,Terra.do Climate Jobs,https://terra.do/climate-jobs/job-board/,Climate job board,Jobs; Remote work,Global,Climate; Sustainability,Manual/editorial review,Medium,Daily,Climate jobs. Added during comprehensive source expansion round 2.
greenjobs,GreenJobs,https://www.greenjobs.co.uk/,Green job board,Jobs,United Kingdom; Europe; Global,Environment; Renewable energy,Manual/editorial review,Medium,Weekly,Green jobs. Added during comprehensive source expansion round 2.
environmentjob,Environmentjob,https://www.environmentjob.co.uk/jobs,Environment job board,Jobs; Volunteer opportunities,United Kingdom; Global,Environment; Conservation,Manual/editorial review,Medium,Weekly,Environment and conservation roles. Added during comprehensive source expansion round 2.
greenbiz-jobs,GreenBiz Jobs,https://jobs.greenbiz.com/,Sustainability job board,Jobs,United States; Remote,Sustainability; Climate; ESG,Manual/editorial review,Medium,Weekly,Sustainability jobs. Added during comprehensive source expansion round 2.
acre-jobs,Acre Jobs,https://www.acre.com/jobs,Sustainability recruitment,Jobs,Global,Sustainability; ESG; Climate,Manual/editorial review,Medium,Weekly,Sustainability recruitment listings. Added during comprehensive source expansion round 2.
charityjob,CharityJob,https://www.charityjob.co.uk/jobs,Charity job board,Jobs; Volunteer opportunities,United Kingdom; Remote,Nonprofit; Charity; Social impact,Manual/editorial review,Medium,Daily,Charity and nonprofit jobs. Added during comprehensive source expansion round 2.
global-charity-jobs,Global Charity Jobs,https://www.globalcharityjobs.com/,Charity job board,Jobs,Global,Nonprofit; NGO; Development,Manual/editorial review,Medium,Daily,Global charity roles. Added during comprehensive source expansion round 2.
work-for-good,Work for Good,https://workforgood.org/jobs/,Nonprofit job board,Jobs,United States; Remote,Nonprofit; Social impact,Manual/editorial review,Medium,Daily,Nonprofit jobs. Added during comprehensive source expansion round 2.
bwork,B Work,https://www.bwork.com/,Purpose-driven job board,Jobs; Remote work,Global,B Corps; Social impact,Manual/editorial review,Medium,Weekly,Purpose-driven jobs. Added during comprehensive source expansion round 2.
goodjobs-ca,GoodJobs Canada,https://www.goodjobs.ca/,Nonprofit job board,Jobs; Volunteer opportunities,Canada,Nonprofit; Environment; Social impact,Manual/editorial review,Low,Weekly,Canadian nonprofit jobs. Added during comprehensive source expansion round 2.
bond-jobs,Bond Jobs,https://www.bond.org.uk/jobs/,Development job board,Jobs; Consultancies,United Kingdom; Global,International development; NGO,Manual/editorial review,Medium,Daily,UK international development network jobs. Added during comprehensive source expansion round 2.
humanitarian-careers,Humanitarian Careers,https://humanitariancareers.com/jobs/,Humanitarian job board,Jobs; Internships; Consultancies,Global,Humanitarian; Development,Manual/editorial review,Medium,Weekly,Humanitarian roles. Added during comprehensive source expansion round 2.
apha-public-health-jobs,APHA Public Health CareerMart,https://careers.apha.org/jobs/,Public health job board,Jobs,United States; Global,Public health; Health,Manual/editorial review,Medium,Daily,Public health jobs. Added during comprehensive source expansion round 2.
global-health-jobs,Global Health Jobs,https://globalhealthjobs.com/,Global health job board,Jobs,Global,Global health; Public health,Manual/editorial review,Medium,Weekly,Global health roles. Added during comprehensive source expansion round 2.
nhs-jobs,NHS Jobs,https://www.jobs.nhs.uk/,Health/public sector job board,Jobs,United Kingdom,Health; Public sector,Manual/editorial review,Medium,Daily,UK health service jobs. Added during comprehensive source expansion round 2.
jobsdb,JobsDB,https://hk.jobsdb.com/,Regional job board,Jobs,Hong Kong; Asia-Pacific,All sectors,Manual/editorial review,Medium,Daily,Asia-Pacific job board. Added during comprehensive source expansion round 2.
cv-library,CV-Library,https://www.cv-library.co.uk/jobs,Regional job board,Jobs,United Kingdom,All sectors,Manual/editorial review,Medium,Daily,UK job board. Added during comprehensive source expansion round 2.
totaljobs,Totaljobs,https://www.totaljobs.com/jobs,Regional job board,Jobs,United Kingdom,All sectors,Manual/editorial review,Medium,Daily,UK job board. Added during comprehensive source expansion round 2.
france-travail,France Travail,https://www.francetravail.fr/accueil/,Public employment service,Jobs,France,All sectors,Manual/editorial review,High,Daily,French public employment service. Added during comprehensive source expansion round 2.
werk-nl,Werk.nl,https://www.werk.nl/werkzoekenden/,Public employment service,Jobs,Netherlands,All sectors,Manual/editorial review,High,Daily,Dutch public employment service. Added during comprehensive source expansion round 2.
nav-norway,NAV Jobs,https://arbeidsplassen.nav.no/stillinger,Public employment service,Jobs,Norway,All sectors,Manual/editorial review,High,Daily,Norway public employment service. Added during comprehensive source expansion round 2.
swiss-job-room,Job-Room Switzerland,https://www.job-room.ch/,Public employment service,Jobs,Switzerland,All sectors,Manual/editorial review,High,Daily,Swiss public employment service. Added during comprehensive source expansion round 2.
eu-funding-tenders,EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/home,Funding and tenders portal,Tenders / Consultancies; Calls for applications,Europe; Global,Public procurement; Research; Development,Manual/editorial review,High,Daily,EU calls and tender opportunities. Added during comprehensive source expansion round 2.
unops-procurement,UNOPS Procurement,https://www.unops.org/business-opportunities,Tender portal,Tenders / Consultancies,Global,UN procurement; Development,Manual/editorial review,High,Daily,UNOPS business opportunities. Added during comprehensive source expansion round 2.
unicef-supply-tenders,UNICEF Supply Tender Calendar,https://www.unicef.org/supply/tender-calendar,Tender portal,Tenders / Consultancies,Global,UN procurement; Health; Education; Children,Manual/editorial review,High,Daily,UNICEF tenders. Added during comprehensive source expansion round 2.
wfp-procurement,WFP Procurement,https://www.wfp.org/procurement,Tender portal,Tenders / Consultancies,Global,Food security; Humanitarian procurement,Manual/editorial review,High,Daily,WFP procurement opportunities. Added during comprehensive source expansion round 2.
undp-procurement,UNDP Procurement Notices,https://procurement-notices.undp.org/,Tender portal,Tenders / Consultancies,Global,Development procurement,Manual/editorial review,High,Daily,UNDP procurement notices. Added during comprehensive source expansion round 2.
openwho,OpenWHO,https://openwho.org/,Training provider,Training / short courses,Global; Online,Health; Public health; Emergency response,Manual/editorial review,Medium,Weekly,WHO online courses. Added during comprehensive source expansion round 2.
who-academy,WHO Academy,https://www.who.int/about/who-academy,Training provider,Training / short courses,Global; Online,Health; Public health,Manual/editorial review,Medium,Weekly,WHO Academy learning. Added during comprehensive source expansion round 2.
disasterready,DisasterReady,https://www.disasterready.org/,Training provider,Training / short courses,Global; Online,Humanitarian; Development; Safety,Manual/editorial review,Medium,Weekly,Humanitarian training. Added during comprehensive source expansion round 2.
kaya-connect,Kaya,https://kayaconnect.org/,Training provider,Training / short courses,Global; Online,Humanitarian; Development,Manual/editorial review,Medium,Weekly,Humanitarian Leadership Academy learning platform. Added during comprehensive source expansion round 2.
futurelearn,FutureLearn,https://www.futurelearn.com/,Training platform,Training / short courses,Global; Online,All sectors,Manual/editorial review,Low,Weekly,Short course discovery. Added during comprehensive source expansion round 2.
mit-open-learning,MIT Open Learning,https://openlearning.mit.edu/,Training platform,Training / short courses,Global; Online,Technology; Science; Business,Manual/editorial review,Low,Monthly,Open learning courses. Added during comprehensive source expansion round 2.
